code,name,city,region
BZN,Gallatin Field,Bozeman,United States
GEV,Gallivare,Gallivare,Sweden
GUP,Gallup Muni,Gallup,United States
GWY,Galway,Galway,Ireland
TOB,Gamal Abdel Nasser Airport,Tobruk,Libya
GAX,Gamba,Gamba,Gabon
GMB,Gambella,Gambella,Ethiopia
GAN,Gan Island Airport,\N,Maldives
YQX,Gander Intl,Gander,Canada
KAG,Gangneung,Kangnung,South Korea
KVD,Ganja Airport,Ganja,Azerbaijan
KOW,Ganzhou Airport,Ganzhou,China
GAQ,Gao,Gao,Mali
XMN,Gaoqi,Xiamen,China
SRX,Gardabya Airport,Sirt,Libya
GCK,Garden City Rgnl,Garden City,United States
OSL,Gardermoen,Oslo,Norway
FNI,Garons,Nimes,France
GOU,Garoua,Garoua,Cameroon
GMI,Gasmata Island Airport,Gasmata Island,Papua New Guinea
YGP,Gaspe,Gaspe,Canada
ELQ,Gassim,Gassim,Saudi Arabia
YND,Gatineau,Gatineau,Canada
GTA,Gatokae Airport,Gatokae,Solomon Islands
LGW,Gatwick,London,United Kingdom
ZGU,Gaua Island Airport,Gaua Island,Vanuatu
GVX,Gavle,Gavle,Sweden
GAY,Gaya,Gaya,India
BDT,Gbadolite,Gbadolite,Congo (Kinshasa)
GKE,Geilenkirchen,Geilenkirchen,Germany
SKE,Geiteryggen,Skien,Norway
GMA,Gemena,Gemena,Congo (Kinshasa)
TIJ,General Abelardo L Rodriguez Intl,Tijuana,Mexico
PBL,General Bartolome Salom Intl,Puerto Cabello,Venezuela
BOS,General Edward Lawrence Logan Intl,Boston,United States
TTG,General Enrique Mosconi Airport,Tartagal,Argentina
MLM,General Francisco J Mujica Intl,Morelia,Mexico
TAM,General Francisco Javier Mina Intl,Tampico,Mexico
VER,General Heriberto Jara Intl,Vera Cruz,Mexico
HMO,General Ignacio P Garcia Intl,Hermosillo,Mexico
BLA,General Jose Antonio Anzoategui Intl,Barcelona,Venezuela
CUP,General Jose Francisco Bermudez,Carupano,Venezuela
GYM,General Jose Maria Yanez Intl,Guaymas,Mexico
ACA,General Juan N Alvarez Intl,Acapulco,Mexico
ZCL,General Leobardo C Ruiz Intl,Zacatecas,Mexico
REX,General Lucio Blanco Intl,Reynosa,Mexico
CGU,General Manuel Carlos Piar,Ciudad Guayana,Venezuela
PZO,General Manuel Carlos Piar,Guayana,Venezuela
LAP,General Manuel Marquez De Leon Intl,La Paz,Mexico
MCH,General Manuel Serrano,Machala,Ecuador
MTY,General Mariano Escobedo Intl,Monterrey,Mexico
CVJ,General Mariano Matamoros,Cuernavaca,Mexico
MKE,General Mitchell Intl,Milwaukee,United States
CVM,General Pedro Jose Mendez Intl,Ciudad Victoria,Mexico
CUU,General R Fierro Villalobos Intl,Chihuahua,Mexico
MZT,General Rafael Buelna Intl,Mazatlan,Mexico
ESM,General Rivadeneira Airport,Tachina,Ecuador
MXL,General Rodolfo Sanchez Taboada Intl,Mexicali,Mexico
GES,General Santos International Airport,General Santos City,Philippines
MAM,General Servando Canales Intl,Matamoros,Mexico
SNC,General Ulpiano Paez,Salinas,Ecuador
PRA,General Urquiza,Parana,Argentina
GVA,Geneva Cointrin,Geneva,Switzerland
GOA,Genova Sestri,Genoa,Italy
IAH,George Bush Intcntl Houston,Houston,United States
SLU,George F L Charles,Castries,Saint Lucia
GRJ,George,George,South Africa
GRR,Gerald R Ford Intl,Grand Rapids,United States
MNI,Geralds Airport,Geralds,Montserrat
GET,Geraldton Airport,\N,Australia
YGQ,Geraldton Greenstone Regional,Geraldton,Canada
BUN,Gerardo Tobar Lopez,Buenaventura,Colombia
CYB,Gerrard Smith Intl,Cayman Barac,Cayman Islands
LTD,Ghadames East,Ghadames,Libya
GNZ,Ghanzi Airport,Ghanzi,Botswana
GHT,Ghat,Ghat,Libya
GSM,Gheshm Airport,Gheshm,Iran
MUW,Ghriss,Ghriss,Algeria
GIB,Gibraltar,Gibraltar,Gibraltar
GHF,Giebelstadt Aaf,Giebelstadt,Germany
GIL,Gilgit,Gilgit,Pakistan
YGX,Gillam Airport,Gillam,Canada
GCC,Gillette-Campbell County Airport,Gillette,United States
PUS,Gimhae Intl,Kimhae,South Korea
GMP,Gimpo,Seoul,South Korea
FOG,Gino Lisa,Foggia,Italy
GRO,Girona,Gerona,Spain
PNP,Girua Airport,\N,Papua New Guinea
GIS,Gisborne,Gisborne,New Zealand
GYI,Gisenyi,Gisenyi,Rwanda
YHK,Gjoa Haven,Gjoa Haven,Canada
FCA,Glacier Park Intl,Kalispell,United States
GLT,Gladstone Airport,\N,Australia
GLA,Glasgow,Glasgow,United Kingdom
MON,Glentanner,Glentanner,New Zealand
GLO,Gloucestershire,Golouchestershire,United Kingdom
LFW,Gnassingbe Eyadema Intl,Lome,Togo
GOI,Goa,Goa,India
VDM,Gobernador Castello,Viedma,Argentina
GGS,Gobernador Gregores Airport,Gobernador Gregores,Argentina
GDE,Gode Airport,Gode,Ethiopia
GCE,Gode,Gode,Ethiopia
FTK,Godman Aaf,Fort Knox,United States
MPH,Godofredo P,Caticlan,Philippines
YGO,Gods Lake Narrows Airport,Gods Lake Narrows,Canada
ZGI,Gods River Airport,Gods River,Canada
VIX,Goiabeiras,Vitoria,Brazil
OOL,Gold Coast,Coolangatta,Australia
GTR,Golden Triangle Regional Airport,Columbus Mississippi,United States
SZZ,Goleniow,Szczechin,Poland
GLF,Golfito,Golfito,Costa Rica
GOQ,Golmud Airport,Golmud,China
LCE,Goloson Intl,La Ceiba,Honduras
GOM,Goma,Goma,Congo (Kinshasa)
GME,Gomel,Gomel,Belarus
GDQ,Gondar,Gondar,Ethiopia
YYR,Goose Bay,Goose Bay,Canada
YOP,Gorakhpur,Gorakhpur,India
GOR,Gore Airport,Gore,Ethiopia
YZE,Gore Bay Manitoulin,Gore Bay,Canada
GOZ,Gorna Oryahovitsa,Gorna Orechovica,Bulgaria
GKA,Goroka,Goroka,Papua New Guinea
GDA,Gounda Airport,Gounda,Central African Republic
GOV,Gove Airport,\N,Australia
PVH,Governador Jorge Teixeira De Oliveira,Porto Velho,Brazil
GHB,Governors Harbour,Governor's Harbor,Bahamas
GRW,Graciosa,Graciosa Island,Portugal
LPA,Gran Canaria,Gran Canaria,Spain
FPO,Grand Bahama Intl,Freeport,Bahamas
GCN,Grand Canyon National Park Airport,Grand Canyon,United States
SFG,Grand Case,St. Martin,Guadeloupe
GCJ,Grand Central,Johannesburg,South Africa
RDR,Grand Forks Afb,Red River,United States
GFK,Grand Forks Intl,Grand Forks,United States
GJT,Grand Junction Regional,Grand Junction,United States
YQU,Grande Prairie,Grande Prairie,Canada
MWH,Grant Co Intl,Grant County Airport,United States
SVC,Grant County Airport,Silver City,United States
BGI,Grantley Adams Intl,Bridgetown,Barbados
GNT,Grants Milan Muni,Grants,United States
GRF,Gray Aaf,Fort Lewis,United States
GRZ,Graz,Graz,Austria
GTF,Great Falls Intl,Great Falls,United States
BGM,Greater Binghamton Edwin A Link Fld,Binghamton,United States
IKK,Greater Kankakee,Kankakee,United States
YQM,Greater Moncton Intl,Moncton,Canada
ROC,Greater Rochester Intl,Rochester,United States
GSP,Greenville-Spartanburg International,Greenville,United States
GWO,Greenwood Leflore,Greenwood,United States
YZX,Greenwood,Greenwood,Canada
POP,Gregorio Luperon Intl,Puerto Plata,Dominican Republic
PBF,Grider Fld,Pine Bluff,United States
SKY,Griffing Sandusky,Sandusky,United States
RME,Griffiss Afld,Rome,United States
GFF,Griffith Airport,\N,Australia
YGZ,Grise Fiord Airport,Grise Fiord,Canada
GUS,Grissom Arb,Peru,United States
JGR,Groennedal Heliport,Groennedal,Greenland
GTE,Groote Eylandt Airport,\N,Australia
GRS,Grosseto,Grosseto,Italy
GON,Groton New London,Groton CT,United States
TAR,Grottaglie,Grottaglie,Italy
GRV,Grozny Airport,Grozny,Russia
GRY,GrÃ­msey Airport,GrÃ­msey,Iceland
GHU,Gualeguaychu,Gualeguaychu,Argentina
GUM,Guam Intl,Agana,Guam
GJA,Guanaja,Guanaja,Honduras
BJX,Guanajuato Intl,Del Bajio,Mexico
GUQ,Guanare,Guanare,Venezuela
GYS,Guangyuan Airport,Guangyuan,China
REC,Guararapes Gilberto Freyre Intl,Recife,Brazil
GRU,Guarulhos Gov Andre Franco Montouro,Sao Paulo,Brazil
ELU,Guemar Airport,\N,Algeria
GCI,Guernsey,Guernsey,Guernsey
GUB,Guerrero Negro Airport,Guerrero Negro,Mexico
PPN,Guillermo Leon Valencia,Popayan,Colombia
BES,Guipavas,Brest,France
GUI,Guiria,Guiria,Venezuela
GPT,Gulfport-Biloxi,Gulfport,United States
GKN,Gulkana,Gulkana,United States
ULU,Gulu Airport,Gulu,Uganda
VOG,Gumrak,Volgograd,Russia
GUC,Gunnison,Gunnison,United States
URY,Guriat,Guriat,Saudi Arabia
GUR,Gurney Airport,\N,Papua New Guinea
QUS,Gusau,Gusau,Nigeria
FLA,Gustavo Artunduaga Paredes,Florencia,Colombia
BCA,Gustavo Rizo,Baracoa Playa,Cuba
ADZ,Gustavo Rojas Pinilla,San Andres Island,Colombia
GST,Gustavus Airport,Gustavus,United States
GUT,Gutersloh,Guetersloh,Germany
GWD,Gwadar,Gwadar,Pakistan
GWL,Gwalior,Gwalior,India
KWJ,Gwangju,Kwangju,South Korea
GWE,Gweru Thornhill,Gwert,Zimbabwe
LWN,Gyumri,Gyumri,Armenia
QGY,GyÅ‘r-PÃ©r International Airport,GyÅ‘r,Hungary
TJQ,H As Hanandjoeddin,Tanjung Pandan,Indonesia
ENE,H Hasan Aroeboesman,Ende,Indonesia
MIR,Habib Bourguiba Intl,Monastir,Tunisia
HAC,Hachijojima,Hachijojima,Japan
HFS,Hagfors Airport,\N,Sweden
HFA,Haifa,Haifa,Israel
HAS,Hail,Hail,Saudi Arabia
HNS,Haines Airport,Haines,United States
HKD,Hakodate,Hakodate,Japan
YHZ,Halifax Intl,Halifax,Canada
HLP,Halim Perdanakusuma International Airport,Jakarta,Indonesia
YUX,Hall Beach,Hall Beach,Canada
KEV,Halli,Halli,Finland
HAD,Halmstad,Halmstad,Sweden
XFW,Hamburg Finkenwerder,Hamburg,Germany
HAM,Hamburg,Hamburg,Germany
HTI,Hamilton Island Airport,\N,Australia
YHM,Hamilton,Hamilton,Canada
HLZ,Hamilton,Hamilton,New Zealand
HNM,Hana,Hana,United States
HNA,Hanamaki,Hanamaki,Japan
ZNF,Hanau Aaf,Hanau,Germany
BHB,Hancock County - Bar Harbor,Bar Harbor,United States
BTH,Hang Nadim,Batam,Indonesia
HAQ,Hanimaadhoo Airport,Haa Dhaalu Atoll,Maldives
HAJ,Hannover,Hannover,Germany
HZG,Hanzhong Airport,Hanzhong,China
HOI,Hao,Hao Island,French Polynesia
HRE,Harare Intl,Harare,Zimbabwe
MDT,Harrisburg Intl,Harrisburg,United States
CKB,Harrison Marion Regional Airport,Clarksburg,United States
HFD,Hartford Brainard,Hartford,United States
VSF,Hartness State,Springfield VT,United States
ATL,Hartsfield Jackson Atlanta Intl,Atlanta,United States
UPG,Hasanuddin,Ujung Pandang,Indonesia
EUN,Hassan I Airport,El AaiÃºn,Western Sahara
HRM,Hassi R Mel,Tilrempt,Algeria
HAA,Hasvik,Hasvik,Norway
HDY,Hat Yai Intl,Songkhla,Thailand
CUR,Hato,Willemstad,Netherlands Antilles
PIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States
HVR,Havre City Co,Havre,United States
CEG,Hawarden,Hawarden,United Kingdom
YHY,Hay River,Hay River,Canada
HIS,Hayman Island Airport,Hayman Island,Australia
LHR,Heathrow,London,United Kingdom
FAR,Hector International Airport,Fargo,United States
HEH,Heho,Heho,Burma
HEI,Heide-BÃ¼sum Airport,BÃ¼sum,Germany
HEK,Heihe Airport,Heihe,China
HLN,Helena Rgnl,Helena,United States
HGL,Helgoland-DÃ¼ne Airport,Helgoland,Germany
HEM,Helsinki Malmi,Helsinki,Finland
HEL,Helsinki Vantaa,Helsinki,Finland
HMV,Hemavan Airport,\N,Sweden
HCN,Hengchun Airport,\N,Taiwan
OTP,Henri Coanda,Bucharest,Romania
STX,Henry E Rohlsen,St. Criox Island,Virgin Islands
FSI,Henry Post Aaf,Fort Sill,United States
HEA,Herat,Herat,Afghanistan
FLN,Hercilio Luz,Florianopolis,Brazil
HDF,Heringsdorf Airport,\N,Germany
VTU,Hermanos Ameijeiras,Las Tunas,Cuba
PBC,Hermanos Serdan Intl,Puebla,Mexico
CIJ,Heroes Del Acre,Cobija,Bolivia
HVB,Hervey Bay Airport,Hervey Bay,Australia
UVF,Hewanorra Intl,Hewandorra,Saint Lucia
BAK,Heydar Aliyev,Baku,Azerbaijan
GYD,Heydar Aliyev,Baku,Azerbaijan
HKY,Hickory Rgnl,Hickory,United States
VDE,Hierro,Hierro,Spain
YOJ,High Level,High Level,Canada
HIF,Hill Afb,Ogden,United States
INJ,Hillsboro Muni,Santa Ana,United States
ITO,Hilo Intl,Hilo,United States
HIJ,Hiroshima,Hiroshima,Japan
AUQ,Hiva Oa-Atuona Airport,\N,French Polynesia
HBR,Hobart Muni,Hobart,United States
HBA,Hobart,Hobart,Australia
HOD,Hodeidah Intl,Hodeidah,Yemen
HDS,Hoedspruit Afb,Hoedspruit,South Africa
HOQ,Hof Plauen,Hof,Germany
HKK,Hokitika,Hokitika,New Zealand
HMN,Holloman Afb,Alamogordo,United States
HCR,Holy Cross Airport,Holy Cross,United States
HOM,Homer,Homer,United States
HST,Homestead Arb,Homestead,United States
HKG,Hong Kong Intl,Hong Kong,Hong Kong
SHA,Hongqiao Intl,Shanghai,China
HIR,Honiara International,Honiara,Solomon Islands
BEQ,Honington,Honington,United Kingdom
HNL,Honolulu Intl,Hickam Afb,United States
HLR,Hood Aaf,Fort Hood,United States
HOK,Hooker Creek Airport,\N,Australia
YHO,Hopedale Airport,Hopedale,Canada
HID,Horn Island Airport,\N,Australia
HFN,Hornafjordur,Hofn,Iceland
HOR,Horta,Horta,Portugal
HTN,Hotan,Hotan,China
ALG,Houari Boumediene,Algier,Algeria
CMX,Houghton County Memorial Airport,Hancock,United States
HUL,Houlton Intl,Houlton,United States
CMR,Houssen,Colmar,France
HOV,Hovden,Orsta-Volda,Norway
HOW,Howard,Howard,Panama
KKN,Hoybuktmoen,Kirkenes,Norway
GNA,Hrodno Airport,Hrodna,Belarus
HHQ,Hua Hin,Prachuap Khiri Khan,Thailand
HUH,Huahine,Huahine Island,French Polynesia
HUN,Hualien,Hualien,Taiwan
NOV,Huambo,Huambo,Angola
CSX,Huanghua,Changcha,China
HYN,Huangyan Luqiao Airport,Huangyan,China
HBX,Hubli Airport,\N,India
HUV,Hudiksvall,Hudiksvall,Sweden
YHB,Hudson Bay,Hudson Bay,Canada
HGD,Hughenden Airport,\N,Australia
HLF,Hultsfred,Hultsfred,Sweden
HUY,Humberside,Humberside,United Kingdom
SVN,Hunter Aaf,Hunter Aaf,United States
HSV,Huntsville International Airport-Carl T Jones Field,HUNTSVILLE,United States
HRG,Hurghada Intl,Hurghada,Egypt
HRT,Hurlburt Fld,Mary Esther,United States
HON,Huron Rgnl,Huron,United States
HZK,Husavik,Husavik,Iceland
BDO,Husein Sastranegara,Bandung,Indonesia
WKM,Hwange National Park,Hwange National Park,Zimbabwe
HDD,Hyderabad Airport,Hyderabad,Pakistan
HYD,Hyderabad,Hyderabad,India
ISC,ISLES OF SCILLY,ST MARY\\'S,United Kingdom
IAS,Iasi,Iasi,Romania
IBA,Ibadan,Ibadan,Nigeria
IBZ,Ibiza,Ibiza,Spain
TNG,Ibn Batouta,Tanger,Morocco
YVA,Iconi Airport,Moroni,Comoros
IDA,Idaho Falls Rgnl,Idaho Falls,United States
IAA,Igarka Airport,Igarka,Russia
QFI,Iginniarfik Heliport,\N,Greenland
YGT,Igloolik Airport,Igloolik,Canada
CMW,Ignacio Agramonte Intl,Camaguey,Cuba
BQS,Ignatyevo,Blagoveschensk,Russia
BDR,Igor I Sikorsky Mem,Stratford,United States
IHU,Ihu Airport,Ihu,Papua New Guinea
JIK,Ikaria,Ikaria,Greece
IKI,Iki,Iki,Japan
PFR,Ilebo Airport,Ilebo,Congo (Kinshasa)
YGR,Iles De La Madeleine,Iles De La Madeleine,Canada
IOS,Ilheus,Ilheus,Brazil
ILI,Iliamna,Iliamna,United States
VVZ,Illizi Takhamalt,Illizi,Algeria
ILO,Iloilo,Iloilo,Philippines
ILR,Ilorin,Ilorin,Nigeria
JAV,Ilulissat,Ilulissat,Greenland
IKA,Imam Khomeini,Tehran,Iran
IPL,Imperial Co,Imperial,United States
IMF,Imphal,Imphal,India
IAM,In Amenas,Zarzaitine,Algeria
INZ,In Salah,In Salah,Algeria
ICN,Incheon Intl,Seoul,South Korea
UTO,Indian Mountain Lrrs,Indian Mountains,United States
IND,Indianapolis Intl,Indianapolis,United States
DEL,Indira Gandhi Intl,Delhi,India
AGA,Inezgane,Agadir,Morocco
CPE,Ingeniero Alberto Acuna Ongay Intl,Campeche,Mexico
PCA,Ingeniero Juan Guillermo Villasana,Pachuca,Mexico
INH,Inhambane,Inhambane,Mozambique
INN,Innsbruck,Innsbruck,Austria
INO,Inongo Airport,Inongo,Congo (Kinshasa)
YPH,Inukjuak Airport,Inukjuak,Canada
YEV,Inuvik Mike Zubko,Inuvik,Canada
IVC,Invercargill,Invercargill,New Zealand
INV,Inverness,Inverness,United Kingdom
IOA,Ioannina,Ioannina,Greece
CFU,Ioannis Kapodistrias Intl,Kerkyra/corfu,Greece
IPA,Ipota Airport,Ipota,Vanuatu
YFB,Iqaluit,Iqaluit,Canada
IRI,Iringa,Iringa,Tanzania
IKT,Irkutsk,Irkutsk,Russia
IFJ,Isafjordur,Isafjordur,Iceland
ISG,Ishigaki,Ishigaki,Japan
IRD,Ishurdi,Ishurdi,Bangladesh
PKN,Iskandar,Pangkalan Bun,Indonesia
ISJ,Isla Mujeres,Isla Mujeres,Mexico
YIV,Island Lake Airport,Island Lake,Canada
ILY,Islay,Islay,United Kingdom
IOM,Isle Of Man,Isle Of Man,Isle of Man
PBP,Islita Airport,Nandayure,Costa Rica
ISE,Isparta SÃ¼leyman Demirel Airport,Isparta,Turkey
ITH,Ithaca Tompkins Rgnl,Ithaca,United States
IVL,Ivalo,Ivalo,Finland
IFO,Ivano Frankivsk International Airport,\N,Ukraine
TNR,Ivato,Antananarivo,Madagascar
YIK,Ivujivik Airport,Ivujivik,Canada
IWJ,Iwami Airport,\N,Japan
IWO,Iwo Jima,Iwojima,Japan
ZIH,Ixtapa Zihuatanejo Intl,Zihuatanejo,Mexico
IJK,Izhevsk Airport,Izhevsk,Russia
IZO,Izumo,Izumo,Japan
BQU,J F Mitchell Airport,Bequia,Saint Vincent and the Grenadines
BUQ,J M Nkomo Intl,Bulawayo,Zimbabwe
GDT,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands
JLR,Jabalpur,Jabalpur,India
JAT,Jabot Airport,Ailinglapalap Atoll,Marshall Islands
HHR,Jack Northrop Fld Hawthorne Muni,Hawthorne,United States
JAN,Jackson Evers Intl,Jackson,United States
JAC,Jackson Hole Airport,Jacksn Hole,United States
JAX,Jacksonville Intl,Jacksonville,United States
NIP,Jacksonville Nas,Jacksonville,United States
JAQ,Jacquinot Bay Airport,Jacquinot Bay,Papua New Guinea
CFG,Jaime Gonzalez,Cienfuegos,Cuba
JAI,Jaipur,Jaipur,India
JSA,Jaisalmer,Jaisalmer,India
JAA,Jalalabad,Jalalabad,Afghanistan
GTO,Jalaluddin,Gorontalo,Indonesia
UIT,Jaluit Airport,Jabor Jaluit Atoll,Marshall Islands
DAY,James M Cox Dayton Intl,Dayton,United States
JMS,Jamestown Regional Airport,Jamestown,United States
IXJ,Jammu,Jammu,India
JGA,Jamnagar,Jamnagar,India
IXW,Jamshedpur,Jamshedpur,India
RGT,Japura,Rengat,Indonesia
JQE,JaquÃ© Airport,JaquÃ©,Panama
RZE,Jasionka,Rzeszow,Poland
SOQ,Jefman,Sorong,Indonesia
JEJ,Jeh Airport,Ailinglapalap Atoll,Marshall Islands
CJU,Jeju Intl,Cheju,South Korea
JEE,Jeremie Airport,Jeremie,Haiti
XRY,Jerez,Jerez,Spain
JER,Jersey,Jersey,Jersey
JSR,Jessore,Jessore,Bangladesh
AGU,Jesus Teran Intl,Aguascalientes,Mexico
JPR,Ji-ParanÃ¡ Airport,Ji-ParanÃ¡,Brazil
JMU,Jiamusi Airport,\N,China
CKG,Jiangbei,Chongqing,China
GJL,Jijel,Jijel,Algeria
JIM,Jimma,Jimma,Ethiopia
TNA,Jinan,Jinan,China
JDZ,Jingdezhen Airport,Jingdezhen,China
JHG,Jinghong,Jinghong,China
KHI,Jinnah Intl,Karachi,Pakistan
JNZ,Jinzhou Airport,Jinzhou,China
JIU,Jiujiang Lushan Airport,Jiujiang,China
JZH,Jiuzhaigou Huanglong,Jiuzhaigou,China
JIW,Jiwani Airport,Jiwani,Pakistan
JDH,Jodhpur,Jodhpur,India
JOE,Joensuu,Joensuu,Finland
PBM,Johan A Pengel Intl,Zandery,Suriname
JNB,Johannesburg Intl,Johannesburg,South Africa
JFK,John F Kennedy Intl,New York,United States
JST,John Murtha Johnstown-Cambria County Airport,Johnstown,United States
SNA,John Wayne Arpt Orange Co,Santa Ana,United States
JON,Johnston Atoll,Johnston Island,Johnston Atoll
JOL,Jolo Airport,\N,Philippines
NBO,Jomo Kenyatta International,Nairobi,Kenya
JMO,Jomsom,Jomsom,Nepal
JBR,Jonesboro Muni,Jonesboro,United States
JKG,Jonkoping,Joenkoeping,Sweden
JLN,Joplin Rgnl,Joplin,United States
LIM,Jorge Chavez Intl,Lima,Peru
SJE,Jorge E Gonzalez Torres,San Jose Del Guaviare,Colombia
CBB,Jorge Wilsterman,Cochabamba,Bolivia
JRH,Jorhat,Jorhat,India
BSC,Jose Celestino Mutis,Bahia Solano,Colombia
GYE,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador
CZE,Jose Leonardo Chirinos,Coro,Venezuela
MDE,Jose Maria Cordova,Rio Negro,Colombia
HAV,Jose Marti Intl,Havana,Cuba
LSP,Josefa Camejo,Paraguana,Venezuela
GPI,Juan Casiano,Guapi,Colombia
VRA,Juan Gualberto Gomez Intl,Varadero,Cuba
RTB,Juan Manuel Galvez Intl,Roatan,Honduras
VIG,Juan Pablo PÃ©rez Alfonso Airport,El VigÃ­a,Venezuela
SJO,Juan Santamaria Intl,San Jose,Costa Rica
SRE,Juana Azurduy De Padilla,Sucre,Bolivia
SAB,Juancho E. Yrausquin,Saba,Netherlands Antilles
SUB,Juanda,Surabaya,Indonesia
JJI,Juanjui,Juanjui,Peru
JUB,Juba,Juba,Sudan
JUJ,Jujuy,Jujuy,Argentina
JCK,Julia Creek Airport,\N,Australia
JUL,Juliaca,Juliaca,Peru
JUM,Jumla,Jumla,Nepal
JNU,Juneau Intl,Juneau,United States
TRK,Juwata,Taraken,Indonesia
JWA,Jwaneng,Jwaneng,Botswana
JYV,Jyvaskyla,Jyvaskyla,Finland
KDM,Kaadedhdhoo,Kaadedhdhoo,Maldives
KBT,Kaben Airport,Kaben,Marshall Islands
ABK,Kabri Dehar Airport,Kabri Dehar,Ethiopia
KBL,Kabul Intl,Kabul,Afghanistan
HTA,Kadala,Chita,Russia
DNA,Kadena Ab,Kadena,Japan
KDO,Kadhdhoo Airport,Laamu Atoll,Maldives
KAD,Kaduna,Kaduna,Nigeria
KED,Kaedi,Kaedi,Mauritania
KGE,Kagau Island Airport,Kagau Island,Solomon Islands
KOJ,Kagoshima,Kagoshima,Japan
KCM,Kahramanmaras Airport,\N,Turkey
OGG,Kahului,Kahului,United States
KAI,Kaieteur,Kaieteur,Guyana
KBZ,Kaikoura,Kaikoura,New Zealand
IXH,Kailashahar,Kailashahar,India
KNG,Kaimana,Kaimana,Indonesia
KAT,Kaitaia,Kaitaia,New Zealand
KAJ,Kajaani,Kajaani,Finland
KLX,Kalamata,Kalamata,Greece
AZO,Kalamazoo,Kalamazoo,United States
LUP,Kalaupapa Airport,Molokai,United States
KAX,Kalbarri Airport,\N,Australia
FMI,Kalemie,Kalemie,Congo (Kinshasa)
KGI,Kalgoorlie Boulder,Kalgoorlie,Australia
KLO,Kalibo,Kalibo,Philippines
KFG,Kalkgurung Airport,\N,Australia
LLA,Kallax,Lulea,Sweden
KLR,Kalmar,Kalkmar,Sweden
KLG,Kalskag Airport,Kalskag,United States
JKL,Kalymnos Island,Kalymnos,Greece
KME,Kamembe,Kamembe,Rwanda
KMN,Kamina Base,Kamina Base,Congo (Kinshasa)
KAC,Kamishly Airport,Kamishly,Syria
YKA,Kamloops,Kamloops,Canada
KUY,Kamusi Airport,Kamusi,Papua New Guinea
LLW,Kamuzu Intl,Lilongwe,Malawi
KGA,Kananga,Kananga,Congo (Kinshasa)
KDH,Kandahar,Kandahar,Afghanistan
IXY,Kandla,Kandla,India
KDR,Kandrian Airport,Kandrian,Papua New Guinea
NGF,Kaneohe Bay Mcaf,Kaneohe Bay,United States
XGR,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,Canada
YKG,Kangirsuk Airport,Kangirsuk,Canada
JAF,Kankesanturai,Jaffna,Sri Lanka
KNU,Kanpur,Kanpur,India
KIX,Kansai,Osaka,Japan
MCI,Kansas City Intl,Kansas City,United States
KHH,Kaohsiung Intl,Kaohsiung,Taiwan
KLC,Kaolack,Kaolack,Senegal
NAV,Kapadokya,Nevsehir,Turkey
JHM,Kapalua,Lahania-kapalua,United States
YYU,Kapuskasing,Kapuskasing,Canada
KRY,Karamay Airport,Karamay,China
KAB,Kariba Intl,Kariba,Zimbabwe
KLV,Karlovy Vary,Karlovy Vary,Czech Republic
KSK,Karlskoga,Karlskoga,Sweden
KSD,Karlstad Airport,\N,Sweden
HAU,Karmoy,Haugesund,Norway
KGJ,Karonga,Karonga,Malawi
AOK,Karpathos,Karpathos,Greece
KTA,Karratha,Karratha,Australia
KSY,Kars Airport,Kars,Turkey
KSQ,Karshi Khanabad Airport,Khanabad,Uzbekistan
KRB,Karumba Airport,\N,Australia
KRP,Karup,Karup,Denmark
XKS,Kasabonika Airport,Kasabonika,Canada
BBK,Kasane,Kasane,Botswana
ZKE,Kashechewan Airport,Kashechewan,Canada
KHG,Kashi,Kashi,China
PSJ,Kasiguncu,Poso,Indonesia
KSJ,Kasos,Kasos,Greece
KSL,Kassala,Kassala,Sudan
KSF,Kassel Calden,Kassel,Germany
KZS,Kastelorizo,Kastelorizo,Greece
CPH,Kastrup,Copenhagen,Denmark
EUA,Kaufana Airport,Eua Island,Tonga
KAU,Kauhava,Kauhava,Finland
KKR,Kaukura,Kaukura Atoll,French Polynesia
KUN,Kaunas Intl,Kaunas,Lithuania
KVG,Kavieng Airport,\N,Papua New Guinea
KAW,Kawthoung Airport,Kawthoung,Burma
KYS,Kayes Dag Dag,Kayes,Mali
KZN,Kazan,Kazan,Russia
EAR,Kearney Municipal Airport,Kearney,United States
KGG,Kedougou,Kedougou,Senegal
BIX,Keesler Afb,Biloxi,United States
EFL,Kefallinia,Keffallinia,Greece
KEF,Keflavik Nas,Keflavik,Iceland
YLW,Kelowna,Kelowna,Canada
KEJ,Kemerovo,Kemorovo,Russia
KEM,Kemi Tornio,Kemi,Finland
POT,Ken Jones,Port Antonio,Jamaica
ENA,Kenai Muni,Kenai,United States
TMB,Kendall Tamiami Executive,Kendall-tamiami,United States
KEN,Kenema Airport,Kenema,Sierra Leone
KET,Kengtung,Kengtung,Burma
NNA,Kenitra,Kentira,Morocco
YQK,Kenora,Kenora,Canada
KMA,Kerema Airport,\N,Papua New Guinea
KKE,Kerikeri,Kerikeri,New Zealand
KER,Kerman,Kerman,Iran
KIR,Kerry,Kerry,Ireland
KTE,Kerteh,Kerteh,Malaysia
